Asset1,Asset2,Asset3,Date
0.01646546573189023,0.026692376528005643,0.050527139693341556,2023-04-12
0.007111456044401492,-0.005756024922335799,0.04280624770131402,2023-04-13
0.0337157657674628,0.03948480375857937,0.06130472881685509,2023-04-14
0.017973859559574652,-0.009274323098680553,0.018027905796445393,2023-04-15
-0.004293233625689976,0.051440394259175605,-0.00823483768222299,2023-04-16
-0.01658202311296748,-0.008684030874593933,-0.010027779553590405,2023-04-17
0.017309644411778284,0.0649876059564012,-0.009673937478824541,2023-04-18
-0.12944659503185166,0.048987117902842055,-0.0036615490971200317,2023-04-19
-0.06272693869797857,0.0699729711468457,-0.0075184207899070005,2023-04-20
0.11644143746475259,-0.07310844422121468,-0.11714261373335798,2023-04-21
-0.051755893206679386,0.03299113533511844,0.0268972378259939,2023-04-22
-0.1089128084013009,-0.03514646599819588,0.12972497944233555,2023-04-23
-0.08228253734607044,0.01444011768068793,-0.017453764465613676,2023-04-24
0.06096142038544029,0.05368940105144874,-0.016620738482906808,2023-04-25
-0.03683603213641005,-0.020811946048301548,-0.027279732935928114,2023-04-26
-0.06466644567208105,0.05598984551694589,0.05684779398580866,2023-04-27
0.03045840278217722,0.05724894746405341,0.0756641933907468,2023-04-28
-0.003048534310219626,0.029666639490218808,-0.04075119447287191,2023-04-29
0.039494982328114436,-0.0022380557969220514,0.044145479296571664,2023-04-30
0.02989771443249571,0.07515283430741296,-0.002899708856361999,2023-05-01
